2019-03-14 16:23:30.888 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual logging.path is [ ./logs ]
2019-03-14 16:23:30.895 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.infra Logback ]
2019-03-14 16:23:30.930 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.rpc Logback ]
2019-03-14 16:23:31.085 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2019-03-14 16:23:31.232 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.healthcheck Logback ]
2019-03-14 16:23:31.247 [main] INFO  com.dodolu.sofacore.test.usercases.BeanTest - Starting BeanTest on ASUS-dodolu with PID 3972 (started by ASUS in E:\idea\sofa-boot\sofa-core-demo\sofa-core-demo-service)
2019-03-14 16:23:31.247 [main] INFO  com.dodolu.sofacore.test.usercases.BeanTest - No active profile set, falling back to default profiles: default
2019-03-14 16:23:31.275 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@10289886: startup date [Thu Mar 14 16:23:31 CST 2019]; root of context hierarchy
2019-03-14 16:23:31.909 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [E:\idea\sofa-boot\sofa-core-demo\sofa-core-demo-service\target\classes\META-INF\sofa-core-demo\sofa-core-demo-service.xml]
2019-03-14 16:23:32.388 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-03-14 16:23:32.595 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.runtime Logback ]
2019-03-14 16:23:33.313 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@10289886: startup date [Thu Mar 14 16:23:31 CST 2019]; root of context hierarchy
2019-03-14 16:23:33.379 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
